Name,AREA,AnydoTag,Archivos multimedia,BLOQUE,C-TEXT,Fórmula,ID,Nombre,Rollup,TITULO,Tags,URL
"C370 (https://www.notion.so/C370-2a5622cf315b81348424ff792386b8eb?pvs=21) ",https://www.notion.so/2e8622cf315b801f9cf7f1a31343e567,,,@B37-ORG  (https://www.notion.so/2e8622cf315b8093a233eb3c685dd8d4?pvs=21),,@@C370,,,,,,
"C300 (https://www.notion.so/C300-2a5622cf315b817c8972cd75ed4b85d9?pvs=21) ",,,,,,@@C300,,,,,,
"C269-MIN (https://www.notion.so/C269-MIN-117622cf315b80a3975efeec9d835701?pvs=21) ",https://www.notion.so/2e8622cf315b80aeaae0ff6e7ada9d85,,,@B26-GES  (https://www.notion.so/2e8622cf315b80dd8cd6e192156c655d?pvs=21),,@@C269-MIN,,,,,,
"C268-UNED (https://www.notion.so/C268-UNED-124622cf315b80d2ad73ef029b03577f?pvs=21) ",https://www.notion.so/2e8622cf315b80aeaae0ff6e7ada9d85,,,@B26-GES  (https://www.notion.so/2e8622cf315b80dd8cd6e192156c655d?pvs=21),,@@C268-UNED,,,,,,
"C260 (https://www.notion.so/C260-2a5622cf315b8114bdefc8e6e7750bae?pvs=21) ",https://www.notion.so/2e8622cf315b80aeaae0ff6e7ada9d85,,,@B26-GES  (https://www.notion.so/2e8622cf315b80dd8cd6e192156c655d?pvs=21),,@@C260,,,,,,
"C267-UPO (https://www.notion.so/C267-UPO-11f622cf315b809eafe3ebe8a9c6df5e?pvs=21) ",https://www.notion.so/2e8622cf315b80aeaae0ff6e7ada9d85,,,@B26-GES  (https://www.notion.so/2e8622cf315b80dd8cd6e192156c655d?pvs=21),,@@C267-UPO,,,,,,
"C256-MOC (https://www.notion.so/C256-MOC-124622cf315b80a28830fa208a446b3f?pvs=21) ",https://www.notion.so/2e8622cf315b80aeaae0ff6e7ada9d85,,,@B25-FOR  (https://www.notion.so/2e8622cf315b808f871dd4d95296a2a3?pvs=21),,@@C256-MOC,,,,,,
"C255-EST (https://www.notion.so/C255-EST-117622cf315b80c2bdecd106f2cde24c?pvs=21) ",https://www.notion.so/2e8622cf315b80aeaae0ff6e7ada9d85,,,@B25-FOR  (https://www.notion.so/2e8622cf315b808f871dd4d95296a2a3?pvs=21),,@@C255-EST,,,,,,
"C254-PDI (https://www.notion.so/C254-PDI-124622cf315b805aa919c2c95c6c23e8?pvs=21) ",https://www.notion.so/2e8622cf315b80aeaae0ff6e7ada9d85,,,@B25-FOR  (https://www.notion.so/2e8622cf315b808f871dd4d95296a2a3?pvs=21),,@@C254-PDI,,,,,,
"C250 (https://www.notion.so/C250-2a5622cf315b81af9ec4c2ce60e8faa8?pvs=21) ",https://www.notion.so/2e8622cf315b80aeaae0ff6e7ada9d85,,,@B25-FOR  (https://www.notion.so/2e8622cf315b808f871dd4d95296a2a3?pvs=21),,@@C250,,,,,,
